timestamp,usage
2017-01-19,253
2017-01-20,434
2017-01-21,357
2017-01-22,249
2017-01-23,110
2017-01-24,360
2017-01-25,299
2017-01-26,365
2017-01-27,366
2017-01-28,473
2017-01-29,332
2017-01-30,136
2017-01-31,333
2017-02-01,375
2017-02-02,281
2017-02-03,251
2017-02-04,123
2017-02-05,100
2017-02-06,313
2017-02-07,315
2017-02-08,174
2017-02-09,273
2017-02-10,117
2017-02-11,262
2017-02-12,295
2017-02-13,172
2017-02-14,118
2017-02-15,126
2017-02-16,309
2017-02-17,301
2017-02-18,323
2017-02-19,467
2017-02-20,326
2017-02-21,347
2017-02-22,143
2017-02-23,355
2017-02-24,230
2017-02-25,435
2017-02-26,449
2017-02-27,150
2017-02-28,254
2017-03-01,489
2017-03-02,499
2017-03-03,283
2017-03-04,358
2017-03-05,422
2017-03-06,218
2017-03-07,431
2017-03-08,375
2017-03-09,248
2017-03-10,205
2017-03-11,368
2017-03-12,403
2017-03-13,302
2017-03-14,465
2017-03-15,202
2017-03-16,376
2017-03-17,336
2017-03-18,470
2017-03-19,445
2017-03-20,285
2017-03-21,278
2017-03-22,491
2017-03-23,487
2017-03-24,447
2017-03-25,118
2017-03-26,432
2017-03-27,490
2017-03-28,464
2017-03-29,388
2017-03-30,347
2017-03-31,480
2017-04-01,392
2017-04-02,298
2017-04-03,207
2017-04-04,200
2017-04-05,208
2017-04-06,452
2017-04-07,304
2017-04-08,459
2017-04-09,121
2017-04-10,195
2017-04-11,396
2017-04-12,424
2017-04-13,121
2017-04-14,196
2017-04-15,270
2017-04-16,257
2017-04-17,201
2017-04-18,151
2017-04-19,472
2017-04-20,272
2017-04-21,360
2017-04-22,129
2017-04-23,458
2017-04-24,230
2017-04-25,241
2017-04-26,182
2017-04-27,483
2017-04-28,431
2017-04-29,226
2017-04-30,183
2017-05-01,340
2017-05-02,158
2017-05-03,101
2017-05-04,268
2017-05-05,137
2017-05-06,312
2017-05-07,277
2017-05-08,451
2017-05-09,404
2017-05-10,149
2017-05-11,301
2017-05-12,313
2017-05-13,179
2017-05-14,362
2017-05-15,363
2017-05-16,195
2017-05-17,118
2017-05-18,396
2017-05-19,214
2017-05-20,379
2017-05-21,430
2017-05-22,177
2017-05-23,103
2017-05-24,242
2017-05-25,457
2017-05-26,476
2017-05-27,389
2017-05-28,246
2017-05-29,263
2017-05-30,338
2017-05-31,410
2017-06-01,413
2017-06-02,114
2017-06-03,209
2017-06-04,251
2017-06-05,370
2017-06-06,388
2017-06-07,441
2017-06-08,289
2017-06-09,347
2017-06-10,313
2017-06-11,456
2017-06-12,404
2017-06-13,218
2017-06-14,125
2017-06-15,299
2017-06-16,210
2017-06-17,486
2017-06-18,107
2017-06-19,181
2017-06-20,187
2017-06-21,452
2017-06-22,466
2017-06-23,280
2017-06-24,252
2017-06-25,147
2017-06-26,438
2017-06-27,230
2017-06-28,152
2017-06-29,326
2017-06-30,248
2017-07-01,441
2017-07-02,208
2017-07-03,231
2017-07-04,472
2017-07-05,308
2017-07-06,335
2017-07-07,342
2017-07-08,409
2017-07-09,228
2017-07-10,462
2017-07-11,473
2017-07-12,435
2017-07-13,471
2017-07-14,157
2017-07-15,211
2017-07-16,201
2017-07-17,351
2017-07-18,228
2017-07-19,458
2017-07-20,250
2017-07-21,435
2017-07-22,444
2017-07-23,483
2017-07-24,436
2017-07-25,197
2017-07-26,268
2017-07-27,310
2017-07-28,187
2017-07-29,273
2017-07-30,207
2017-07-31,320
2017-08-01,424
2017-08-02,202
2017-08-03,465
2017-08-04,357
2017-08-05,323
2017-08-06,486
2017-08-07,386
2017-08-08,307
2017-08-09,474
2017-08-10,146
2017-08-11,455
2017-08-12,424
2017-08-13,416
2017-08-14,253
2017-08-15,447
2017-08-16,397
2017-08-17,163
2017-08-18,346
2017-08-19,350
2017-08-20,121
2017-08-21,119
2017-08-22,263
2017-08-23,422
2017-08-24,238
2017-08-25,251
2017-08-26,217
2017-08-27,337
2017-08-28,494
2017-08-29,332
2017-08-30,105
2017-08-31,392
2017-09-01,402
2017-09-02,375
2017-09-03,376
2017-09-04,324
2017-09-05,203
2017-09-06,219
2017-09-07,310
2017-09-08,477
2017-09-09,205
2017-09-10,290
2017-09-11,342
2017-09-12,358
2017-09-13,385
2017-09-14,383
2017-09-15,311
2017-09-16,172
2017-09-17,237
2017-09-18,495
2017-09-19,426
2017-09-20,265
2017-09-21,128
2017-09-22,151
2017-09-23,134
2017-09-24,249
2017-09-25,178
2017-09-26,278
2017-09-27,411
2017-09-28,105
2017-09-29,202
2017-09-30,384
2017-10-01,362
2017-10-02,146
2017-10-03,116
2017-10-04,408
2017-10-05,315
2017-10-06,203
2017-10-07,361
2017-10-08,116
2017-10-09,294
2017-10-10,337
2017-10-11,422
2017-10-12,209
2017-10-13,203
2017-10-14,488
2017-10-15,147
2017-10-16,255
2017-10-17,213
2017-10-18,441
2017-10-19,483
